citation,citation_text,adj,pos_adj,neg_adj
Abbasi (2010),Abbasi (2010) proposed that feature selection methods should be tailored to sentiment analysis by combining syntactic properties of text features with sentiment-related semantic information.,"['syntactic', 'semantic', 'sentimentrelated']","(0, [])","(0, [])"
"Abbasi et al., 2008","Despite the low computational cost of the Na ve Bayes technique, it has not been competitive in terms of classi cation accuracy when compared to SVM (Abbasi et al., 2008; Pang et al., 2002) and therefore we only analyze the NB method comparatively in the context of our experimental results.","['computational', 'low', 'competitive', 'experimental']","(1, ['competitive'])","(0, [])"
"Abbasi et al., 2011","Usual feature selection methods are document frequency (Bai, 2011; Dang et al., 2010; Pang et al., 2002), mutual information (Li et al., 2009; Turney, 2002), information gain (Abbasi et al., 2011, 2008; Li et al., 2009; Riloff, Patwardhan, & Wiebe, 2006) and chi-square (Abbasi et al., 2011; Li et al., 2009). None of them has been widely accepted as the best feature selection method for sentiment classi cation or text categorization, however, information gain has often been competitive (Abbasi et al., 2011; Forman, 2003; Li et al., 2009; Xia & Zong, 2010; Yang & Pedersen, 1997). In summary, although reducing input features is critical to make the ANN training process practical, it does not represent a disadvantage in comparison to SVM, since SVM also bene ts from the feature selection (Abbasi et al., 2011, 2008; Dang et al., 2010; Li et al., 2009), especially in the context of large-scale sentiment classi cation tasks (Bespalov et al., 2011).","['forman', 'critical', 'largescale', 'ann', 'usual', 'mutual', 'chisquare', 'best', 'turney', 'competitive', 'document']","(2, ['best', 'competitive'])","(1, ['critical'])"
"Abbasi, 2010","The most popular sentiment learning techniques are SVM and NB, and many authors have reported better accuracy by using SVM (Abbasi, 2010; Dang et al., 2010; O Keefe & Koprinska, 2009; Pang et al., 2002; Prabowo & Thelwall, 2009; Ye, Zhang, & Law, 2009).","['popular', 'many', 'svm']","(1, ['popular'])","(0, [])"
"Abbasi, Chen, & Salem, 2008","In general, techniques in the literature can be differed in terms of the adopted approach for feature selection, since most of them agree on the learning techniques: Support Vector Machine (SVM) and Na ve Bayes (NB) (Abbasi, Chen, & Salem, 2008; Tang, Tan, & Cheng, 2009; Tsytsarau & Palpanas, 2012).","['techniques', 'adopted', 'most']","(0, [])","(0, [])"
"Abbasi, France, Zhang, & Chen, 2011","Basically, most of the methods in the literature are composed of two parts: (i) feature selection and (ii) sentiment learning/ classi cation (Abbasi, France, Zhang, & Chen, 2011; Chen, Liu, & Chiu, 2011; Li, Xia, Zong, & Huang, 2009; Pang et al., 2002).",['most'],"(0, [])","(0, [])"
"Alpaydin, 2004","In order to evaluate how different is the accuracy between SVM and ANN classi ers, we applied the t student test with 5% of signi cance (Alpaydin, 2004).","['signi', 'ann', 'different']","(0, [])","(0, [])"
"Atakulreka & Sutivong, 2007","Repeated training with random starting weights is a popular method to overcome the convergence problem (Atakulreka & Sutivong, 2007).",['popular'],"(1, ['popular'])","(0, [])"
"Baccianella & Sebastiani, 2010","Semantic information is computed by assigning weight to features according to their (i) occurrence distributions across categories in the training data and (ii) degree of subjectivity, which is derived from SentiWordNet (Baccianella & Sebastiani, 2010), a publicly available lexical resource that contains sentiment polarity scores.","['sentiment', 'semantic', 'available', 'lexical']","(1, ['available'])","(0, [])"
"Bai, 2011","Usual feature selection methods are document frequency (Bai, 2011; Dang et al., 2010; Pang et al., 2002), mutual information (Li et al., 2009; Turney, 2002), information gain (Abbasi et al., 2011, 2008; Li et al., 2009; Riloff, Patwardhan, & Wiebe, 2006) and chi-square (Abbasi et al., 2011; Li et al., 2009).","['usual', 'mutual', 'chisquare', 'turney', 'document']","(0, [])","(0, [])"
